Actividad;Tipo_de_Actividad
HOSPITAL SANATORIO NIVEL 4;SALUD
SERV.ORG.PUBL.Y GRANDES EMPRESAS;SERV.ORG.PUBL.Y GRANDES EMPRESAS
MERCADONA;GRANDES ALMACENES Y SUPERMERCADOS
SUPERMERCADOS MAS Y MAS;GRANDES ALMACENES Y SUPERMERCADOS
EROSKI;GRANDES ALMACENES Y SUPERMERCADOS
CONSUM;GRANDES ALMACENES Y SUPERMERCADOS
CAPRABO;GRANDES ALMACENES Y SUPERMERCADOS
SUPERM SOL/AHOLD;GRANDES ALMACENES Y SUPERMERCADOS
HIPERCOR SUPERMERCADOS EL CORTE INGLES;GRANDES ALMACENES Y SUPERMERCADOS
SUPERM.ALIMENTACION MANUAL;GRANDES ALMACENES Y SUPERMERCADOS
SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS;GRANDES ALMACENES Y SUPERMERCADOS
VIAJES HALCON;TRANSPORTE
TRANSPORTE URBANO;TRANSPORTE
IBEROTRAVEL VACATION HOLDING;TRANSPORTE
FERROCARRILES DE CER N4;TRANSPORTE
V.DIST.VIAJES Y TRANSPORTE DE VIAJEROS;TRANSPORTE
TRANSPORTES MERCANCIAS,ALMACENAMIENTO Y;TRANSPORTE
GARAJES Y APARCAMIENTOS NIVEL 5;TRANSPORTE
TRANSPORTE VIAJEROS ( VIA MARITIMA );TRANSPORTE
MALEV;TRANSPORTE
RYANAIR;TRANSPORTE
FERROCARRILES DE CERCANIAS Y AUTOBUSES U;TRANSPORTE
TACA INTERNATIONAL;TRANSPORTE
SN BRUSSELS AIRLINES - SNBRU AIR;TRANSPORTE
AUTOMOBILE & TRUCK DEALERS SALES, ...;TRANSPORTE
BUDGET RENT A CAR;TRANSPORTE
VENTA DE COMBUSTIBLE A DOMICILIO;TRANSPORTE
TAP PORTUGAL;TRANSPORTE
METRO DE MADRID TNA;TRANSPORTE
EUROPCAR;TRANSPORTE
ALQUILER DE AUTOMOVILES NIVEL 5;TRANSPORTE
AUMAR;TRANSPORTE
TRANSPORTE VIAJEROS ( VIA MARITIMA );TRANSPORTE
THY (TURKEY);TRANSPORTE
SPANAIR;TRANSPORTE
PASSENGER RAILWAYS;TRANSPORTE
HERTZ;TRANSPORTE
GARAJES,RESTO DE APARCAMIENTOS;TRANSPORTE
GARAJES APARCAMIENTOS NIVEL 5;TRANSPORTE
GARAJES Y APARCAMIENTOS;TRANSPORTE
FINNAIR;TRANSPORTE
CONTINENTAL;TRANSPORTE
CARREFOUR GASOLINERAS TNA;TRANSPORTE
BRITISH AIRWAYS - BRITISH A;TRANSPORTE
AVIS RENT A CAR;TRANSPORTE
ALQUILER DE EMBARCACIONES DE RECREO;TRANSPORTE
AMERICAN AIRLINES;TRANSPORTE
ALITALIA;TRANSPORTE
AIR FRANCE;TRANSPORTE
ACESA;TRANSPORTE
AER LINGUS;TRANSPORTE
AGENCIAS DE VIAJES;TRANSPORTE
AIR EUROPA;TRANSPORTE
AITOPISTAS TERMINAL NIVEL 4;TRANSPORTE
ALQUILER AUTOMOVILES;TRANSPORTE
AUTOPISTAS (TERMINALES);TRANSPORTE
GLOBALIA AUTOMOVILES;TRANSPORTE
IBERIA;TRANSPORTE
IBERIA V A BORDO;TRANSPORTE
LINEAS AEREAS;TRANSPORTE
METRO;TRANSPORTE
R.E.N.F.E.;TRANSPORTE
SOUTH AFRICAN AIRWAYS;TRANSPORTE
TAXIS;TRANSPORTE
